country_code,champion_pct,finalist_pct,semifinal_pct,group_exit_pct,momios_pct,elo
ESP,22.79,34.08,48.333999999999996,3.6159999999999997,14.437,1714.4350242122655
ARG,15.862000000000002,28.374,44.676,3.086,8.8226,1718.9428607394675
BRA,14.966,27.716,48.696,5.122,8.8226,1690.3220484078845
FRA,14.804,27.842,42.514,4.342,13.233900000000002,1720.8395977274
ENG,13.514000000000001,24.529999999999998,39.608,4.274,11.343300000000001,1627.3918297159098
POR,4.316,11.104,24.162,4.247999999999999,7.940300000000001,1592.2707176736676
NED,3.5520000000000005,8.874,20.998,4.984,3.7811,1704.9902851050063
GER,3.53,8.638,20.092,4.182,6.1079,1672.4122622558637
BEL,2.4219999999999997,8.278,21.528,3.63,2.3354,1609.4241877364145
MAR,0.9259999999999999,3.376,10.85,11.709999999999999,1.3017,1504.7646440970768
CRO,0.724,3.042,10.612,11.718,0.9803,1603.5389191257218
URU,0.44,2.244,8.780000000000001,11.518,1.1851,1600.6882874822131
SEN,0.35000000000000003,1.552,5.9959999999999996,17.452,0.9803,1531.8783281495214
USA,0.338,1.7840000000000003,7.371999999999999,7.178,1.3017,1479.0793855356249
SUI,0.262,1.542,7.712,4.098,0.9803,1570.5708772115768
COL,0.256,1.352,6.0440000000000005,14.838000000000001,2.5614000000000003,1602.1855585204505
MEX,0.172,0.9039999999999999,4.295999999999999,7.606,0.9803,1535.9778540648642
NOR,0.13,0.544,2.32,31.044,3.0540000000000003,1512.3818786921338
KOR,0.104,0.512,2.7,14.41,0.1761,1440.7091063850053
JPN,0.096,0.61,3.098,21.624,1.5569,1498.5824555195795
TUR,0.076,0.522,3.134,17.8,0.9803,1517.0583352313847
ECU,0.068,0.41200000000000003,2.538,17.502000000000002,1.3017,1455.8440157074926
CAN,0.054,0.268,1.636,16.816,0.5257999999999999,1411.2011278030795
AUT,0.048,0.332,1.8800000000000001,22.53,0.5257999999999999,1510.7715920494002
IRN,0.032,0.334,1.9539999999999997,23.884,0.1585,1430.4940459199977
CIV,0.027999999999999997,0.156,1.034,34.727999999999994,0.26380000000000003,1488.8286367213523
SWE,0.024,0.244,1.352,34.146,0.9803,1558.3941586294136
EGY,0.022000000000000002,0.106,0.822,34.696,0.26380000000000003,1412.1936130256208
CZE,0.022000000000000002,0.106,0.736,30.037999999999997,0.26380000000000003,1496.3918740376298
SCO,0.016,0.09,0.668,37.834,0.3163,1414.5424382354322
GHA,0.012,0.05,0.33999999999999997,61.922,0.198,1494.2471669957172
ALG,0.01,0.11399999999999999,0.832,36.824,0.198,1451.8575435984342
NZL,0.006,0.016,0.152,69.78999999999999,0.0793,1472.8857847339568
PAR,0.006,0.038,0.328,61.608,0.5257999999999999,1500.0672336006378
AUS,0.006,0.082,0.64,44.596000000000004,0.1585,1465.4131828201046
BIH,0.004,0.032,0.186,60.136,0.3163,1485.2441499286458
PAN,0.004,0.038,0.242,59.69799999999999,0.0793,1436.7995191694908
KSA,0.004,0.022000000000000002,0.156,50.514,0.0793,1399.6580810150033
IRQ,0.002,0.006,0.04,79.538,0.0793,1433.827129592664
CUW,0.002,0.013999999999999999,0.082,75.852,0.0793,1500.0
QAT,0.0,0.008,0.106,53.083999999999996,0.0793,1433.8802560590345
JOR,0.0,0.016,0.1,73.69,0.0793,1500.0
CPV,0.0,0.024,0.086,70.376,0.0793,1500.0
COD,0.0,0.018000000000000002,0.086,67.754,0.1057,1452.293756861577
UZB,0.0,0.027999999999999997,0.214,48.248000000000005,0.0793,1500.0
RSA,0.0,0.008,0.076,76.23400000000001,0.0835,1506.135556143806
TUN,0.0,0.012,0.146,71.976,0.1585,1434.7585466477585
HAI,0.0,0.006,0.046,77.506,0.0793,1414.0649527447679
